No,Type,Region,"City,Town,Ward,Village code","City,Town,Ward,Village",Area,Nearest station_Name,Nearest station_Distance(minute),Transaction-price(total),Layout,Area(m^2),Transaction-price(Unit price m^2),Land shape,Year of construction,Building structure,Use,Purpose of Use,City Planning,Maximus Building Coverage Ratio(%),Maximus Floor-area Ratio(%),Transaction period,Renovation,Transactional factors
2086,"Pre-owned Condominiums, etc.",,13103,Minato Ward,Motoazabu,Hiroo,5,75000000,3LDK,70.0,1.07,,1974,SRC,House,House,Neighborhood Commercial Zone,80.0,400.0,3rd quarter 2019,Done,
2087,"Pre-owned Condominiums, etc.",,13103,Minato Ward,Motoazabu,Hiroo,9,33000000,2DK,45.0,0.73,,1974,SRC,House,House,Neighborhood Commercial Zone,80.0,400.0,1st quarter 2019,Not yet,
2088,"Pre-owned Condominiums, etc.",,13103,Minato Ward,Motoazabu,Hiroo,9,45000000,3LDK,70.0,0.64,,1974,SRC,,House,Neighborhood Commercial Zone,80.0,400.0,1st quarter 2019,Not yet,
2089,"Pre-owned Condominiums, etc.",,13103,Minato Ward,Motoazabu,Roppongi,8,140000000,3LDK,120.0,1.17,,1986,RC,House,House,Category I Exclusively Medium-high Residential Zone,60.0,300.0,3rd quarter 2019,Done,
2091,"Pre-owned Condominiums, etc.",,13103,Minato Ward,Roppongi,Azabujuban,2,62000000,3LDK,75.0,0.83,,1967,SRC,,House,Neighborhood Commercial Zone,80.0,400.0,4th quarter 2019,Not yet,
2092,"Pre-owned Condominiums, etc.",,13103,Minato Ward,Roppongi,Azabujuban,4,370000000,2LDK,145.0,2.55,,2015,RC,,House,Category II Exclusively Medium-high Residential Zone,60.0,300.0,4th quarter 2019,Not yet,
2093,"Pre-owned Condominiums, etc.",,13103,Minato Ward,Roppongi,Azabujuban,4,390000000,3LDK,185.0,2.11,,2015,RC,,House,Category II Exclusively Medium-high Residential Zone,60.0,300.0,3rd quarter 2019,Done,
2094,"Pre-owned Condominiums, etc.",,13103,Minato Ward,Roppongi,Kamiyacho,3,500000000,3LDK,210.0,2.38,,2012,SRC,,House,Category II Residential Zone,60.0,400.0,3rd quarter 2019,Not yet,
2095,"Pre-owned Condominiums, etc.",,13103,Minato Ward,Roppongi,Nogizaka,2,16000000,1K,20.0,0.8,,1972,SRC,House,Other,Category I Residential Zone,60.0,300.0,4th quarter 2019,Done,
2096,"Pre-owned Condominiums, etc.",,13103,Minato Ward,Roppongi,Nogizaka,1,39000000,1K,30.0,1.3,,2006,SRC,House,House,Commercial Zone,80.0,400.0,3rd quarter 2019,Not yet,
2097,"Pre-owned Condominiums, etc.",,13103,Minato Ward,Roppongi,Roppongi,6,210000000,2LDK,110.0,1.91,,2015,RC,House,House,Neighborhood Commercial Zone,80.0,400.0,4th quarter 2019,Done,
2098,"Pre-owned Condominiums, etc.",,13103,Minato Ward,Roppongi,Roppongi,3,330000000,2LDK,130.0,2.54,,2019,RC,House,House,Category I Exclusively Medium-high Residential Zone,60.0,300.0,4th quarter 2019,Not yet,
2099,"Pre-owned Condominiums, etc.",,13103,Minato Ward,Roppongi,Roppongi,2,97000000,1LDK,45.0,2.16,,2011,RC,House,Other,Category II Residential Zone,60.0,300.0,4th quarter 2019,Not yet,
2100,"Pre-owned Condominiums, etc.",,13103,Minato Ward,Roppongi,Roppongi,2,45000000,2DK,55.0,0.82,,1968,SRC,House,House,Category I Residential Zone,60.0,300.0,4th quarter 2019,Not yet,
2101,"Pre-owned Condominiums, etc.",,13103,Minato Ward,Roppongi,Roppongi,3,230000000,3LDK,95.0,2.42,,2011,RC,,House,Commercial Zone,80.0,700.0,4th quarter 2019,,
2102,"Pre-owned Condominiums, etc.",,13103,Minato Ward,Roppongi,Roppongi,0,15000000,1K,15.0,1.0,,1979,SRC,House,Office,Commercial Zone,80.0,700.0,4th quarter 2019,,
2103,"Pre-owned Condominiums, etc.",,13103,Minato Ward,Roppongi,Roppongi,3,82000000,1LDK,35.0,2.34,,2011,RC,House,House,Commercial Zone,80.0,700.0,4th quarter 2019,Done,
2104,Residential Land(Land and Building),Residential Area,13103,Minato Ward,Roppongi,Roppongi,3,1100000000,,260.0,4.23,Trapezoidal Shaped,1973,S,"Housing Complex, Shop",,Neighborhood Commercial Zone,80.0,300.0,3rd quarter 2019,,
2105,"Pre-owned Condominiums, etc.",,13103,Minato Ward,Roppongi,Roppongi,2,45000000,1LDK,40.0,1.12,,1999,RC,House,Other,Commercial Zone,80.0,700.0,3rd quarter 2019,Not yet,
2106,"Pre-owned Condominiums, etc.",,13103,Minato Ward,Roppongi,Roppongi,9,120000000,1LDK,65.0,1.85,,2003,SRC,House,House,Category II Residential Zone,60.0,400.0,3rd quarter 2019,Not yet,
2107,"Pre-owned Condominiums, etc.",,13103,Minato Ward,Roppongi,Roppongi,2,13000000,2LDK,75.0,0.17,,2013,RC,,House,Neighborhood Commercial Zone,80.0,400.0,3rd quarter 2019,Not yet,
2108,"Pre-owned Condominiums, etc.",,13103,Minato Ward,Roppongi,Roppongi,3,180000000,2LDK,80.0,2.25,,2011,RC,,House,Commercial Zone,80.0,700.0,3rd quarter 2019,Not yet,
2109,"Pre-owned Condominiums, etc.",,13103,Minato Ward,Roppongi,Roppongi,2,750000000,Open Floor,120.0,6.25,,2011,RC,Shop,Shop,Category II Residential Zone,60.0,300.0,3rd quarter 2019,Not yet,
2110,"Pre-owned Condominiums, etc.",,13103,Minato Ward,Roppongi,Roppongi,4,16000000,1K,20.0,0.8,,1979,SRC,House,Office,Commercial Zone,80.0,800.0,3rd quarter 2019,Not yet,
2111,"Pre-owned Condominiums, etc.",,13103,Minato Ward,Roppongi,Roppongi,2,250000000,2LDK,100.0,2.5,,2011,RC,House,,Category II Residential Zone,60.0,300.0,3rd quarter 2019,Not yet,
2112,"Pre-owned Condominiums, etc.",,13103,Minato Ward,Roppongi,Roppongi,3,100000000,1LDK,45.0,2.22,,2011,RC,House,House,Commercial Zone,80.0,700.0,3rd quarter 2019,Done,
2113,"Pre-owned Condominiums, etc.",,13103,Minato Ward,Roppongi,Roppongi,2,25000000,1K,20.0,1.25,,2002,SRC,,House,Commercial Zone,80.0,700.0,3rd quarter 2019,Not yet,
2114,"Pre-owned Condominiums, etc.",,13103,Minato Ward,Roppongi,Roppongi,3,150000000,2LDK,75.0,2.0,,2011,RC,House,House,Commercial Zone,80.0,700.0,3rd quarter 2019,Not yet,
2115,Residential Land(Land and Building),Commercial Area,13103,Minato Ward,Roppongi,Roppongi,1,150000000,,70.0,2.14,Trapezoidal Shaped,1968,S,Shop,Shop,Commercial Zone,80.0,700.0,2nd quarter 2019,,
2116,"Pre-owned Condominiums, etc.",,13103,Minato Ward,Roppongi,Roppongi,4,180000000,2LDK,110.0,1.64,,2006,RC,,House,Neighborhood Commercial Zone,80.0,400.0,2nd quarter 2019,Not yet,
2117,"Pre-owned Condominiums, etc.",,13103,Minato Ward,Roppongi,Roppongi,5,47000000,1LDK,40.0,1.18,,1982,SRC,House,House,Commercial Zone,80.0,600.0,2nd quarter 2019,Done,
2118,"Pre-owned Condominiums, etc.",,13103,Minato Ward,Roppongi,Roppongi,2,100000000,2LDK,60.0,1.67,,2013,RC,,Other,Neighborhood Commercial Zone,80.0,400.0,2nd quarter 2019,Not yet,
2119,"Pre-owned Condominiums, etc.",,13103,Minato Ward,Roppongi,Roppongi,9,310000000,3LDK,100.0,3.1,,2003,SRC,House,,Category II Residential Zone,60.0,400.0,2nd quarter 2019,Not yet,
2120,"Pre-owned Condominiums, etc.",,13103,Minato Ward,Roppongi,Roppongi,6,120000000,1LDK,45.0,2.67,,2003,SRC,,House,Category II Residential Zone,60.0,400.0,2nd quarter 2019,Not yet,
2121,"Pre-owned Condominiums, etc.",,13103,Minato Ward,Roppongi,Roppongi,7,61000000,1K,50.0,1.22,,2003,RC,House,House,Category II Exclusively Medium-high Residential Zone,60.0,300.0,2nd quarter 2019,Done,
2122,"Pre-owned Condominiums, etc.",,13103,Minato Ward,Roppongi,Roppongi,6,370000000,,110.0,3.36,,2003,SRC,,,Category II Residential Zone,60.0,400.0,2nd quarter 2019,,
2123,"Pre-owned Condominiums, etc.",,13103,Minato Ward,Roppongi,Roppongi,3,800000000,1LDK,200.0,4.0,,2017,RC,House,House,Category II Exclusively Medium-high Residential Zone,60.0,300.0,2nd quarter 2019,Not yet,
2124,"Pre-owned Condominiums, etc.",,13103,Minato Ward,Roppongi,Roppongi,6,140000000,1LDK,70.0,2.0,,,RC,House,House,Neighborhood Commercial Zone,80.0,400.0,2nd quarter 2019,Done,
2125,"Pre-owned Condominiums, etc.",,13103,Minato Ward,Roppongi,Roppongi,3,41000000,1LDK,40.0,1.02,,1982,SRC,,Office,Category II Exclusively Medium-high Residential Zone,60.0,300.0,1st quarter 2019,Done,
2126,"Pre-owned Condominiums, etc.",,13103,Minato Ward,Roppongi,Roppongi,2,95000000,2LDK,70.0,1.36,,2013,RC,House,House,Neighborhood Commercial Zone,80.0,400.0,1st quarter 2019,Not yet,
2127,"Pre-owned Condominiums, etc.",,13103,Minato Ward,Roppongi,Roppongi,3,90000000,1LDK,45.0,2.0,,2011,RC,House,House,Commercial Zone,80.0,700.0,1st quarter 2019,Not yet,
2128,"Pre-owned Condominiums, etc.",,13103,Minato Ward,Roppongi,Roppongi,2,83000000,1LDK,40.0,2.08,,2011,RC,House,House,Commercial Zone,80.0,700.0,1st quarter 2019,Not yet,
2129,"Pre-owned Condominiums, etc.",,13103,Minato Ward,Roppongi,Roppongi,5,14000000,1R,15.0,0.93,,1973,RC,House,House,Category II Exclusively Medium-high Residential Zone,60.0,300.0,1st quarter 2019,Not yet,
2130,"Pre-owned Condominiums, etc.",,13103,Minato Ward,Roppongi,Roppongi,2,42000000,1DK,30.0,1.4,,1999,SRC,House,House,Commercial Zone,80.0,700.0,1st quarter 2019,Done,
2131,"Pre-owned Condominiums, etc.",,13103,Minato Ward,Roppongi,Roppongi,5,12000000,1K,15.0,0.8,,1973,RC,House,House,Category II Exclusively Medium-high Residential Zone,60.0,300.0,1st quarter 2019,Not yet,
2132,"Pre-owned Condominiums, etc.",,13103,Minato Ward,Roppongi,Roppongi 1-chome,3,140000000,2LDK,65.0,2.15,,2012,RC,House,House,Category II Exclusively Medium-high Residential Zone,60.0,300.0,4th quarter 2019,Not yet,
2133,"Pre-owned Condominiums, etc.",,13103,Minato Ward,Roppongi,Roppongi 1-chome,3,12000000,2DK,20.0,0.6,,1979,SRC,House,House,Commercial Zone,80.0,500.0,4th quarter 2019,Not yet,
2134,"Pre-owned Condominiums, etc.",,13103,Minato Ward,Roppongi,Roppongi 1-chome,5,90000000,2LDK,50.0,1.8,,2014,RC,,House,Commercial Zone,80.0,500.0,4th quarter 2019,Not yet,
2135,"Pre-owned Condominiums, etc.",,13103,Minato Ward,Roppongi,Roppongi 1-chome,1,33000000,1K,20.0,1.65,,2005,RC,House,House,Commercial Zone,80.0,700.0,2nd quarter 2019,Not yet,
2136,"Pre-owned Condominiums, etc.",,13103,Minato Ward,Roppongi,Roppongi 1-chome,1,30000000,1K,20.0,1.5,,2005,RC,House,House,Commercial Zone,80.0,700.0,2nd quarter 2019,Not yet,
2137,"Pre-owned Condominiums, etc.",,13103,Minato Ward,Roppongi,Roppongi 1-chome,3,55000000,1DK,55.0,1.0,,1997,RC,House,Other,Commercial Zone,80.0,500.0,2nd quarter 2019,Not yet,
2138,"Pre-owned Condominiums, etc.",,13103,Minato Ward,Roppongi,Roppongi 1-chome,3,200000000,2LDK,80.0,2.5,,2012,RC,House,House,Category II Exclusively Medium-high Residential Zone,60.0,300.0,1st quarter 2019,Done,
2139,"Pre-owned Condominiums, etc.",,13103,Minato Ward,Roppongi,Roppongi 1-chome,5,34000000,1K,30.0,1.13,,1998,RC,House,House,Category II Residential Zone,60.0,400.0,1st quarter 2019,Done,
2140,"Pre-owned Condominiums, etc.",,13103,Minato Ward,Roppongi,Roppongi 1-chome,4,110000000,3LDK,65.0,1.69,,2014,RC,House,House,Commercial Zone,80.0,500.0,1st quarter 2019,Not yet,
2141,"Pre-owned Condominiums, etc.",,13103,Minato Ward,Roppongi,Roppongi 1-chome,3,32000000,1K,20.0,1.6,,2005,RC,House,House,Commercial Zone,80.0,700.0,1st quarter 2019,Done,
2142,"Pre-owned Condominiums, etc.",,13103,Minato Ward,Roppongi,Roppongi 1-chome,3,180000000,3LDK,80.0,2.25,,2012,RC,House,House,Category II Exclusively Medium-high Residential Zone,60.0,300.0,1st quarter 2019,Not yet,
2143,"Pre-owned Condominiums, etc.",,13103,Minato Ward,Roppongi,Roppongi 1-chome,3,34000000,1K,20.0,1.7,,2005,RC,House,House,Commercial Zone,80.0,700.0,1st quarter 2019,Not yet,
2144,"Pre-owned Condominiums, etc.",,13103,Minato Ward,Roppongi,Roppongi 1-chome,2,26000000,1K,20.0,1.3,,2002,RC,House,House,Commercial Zone,80.0,500.0,1st quarter 2019,Not yet,
2145,Residential Land(Land and Building),Residential Area,13104,Shinjuku Ward,Aizumicho,Akebonobashi,4,150000000,,185.0,0.81,Semi-rectangular Shaped,1982,RC,"House, Office, Warehouse",House,Category II Exclusively Medium-high Residential Zone,60.0,300.0,4th quarter 2019,,
2146,"Pre-owned Condominiums, etc.",,13104,Shinjuku Ward,Aizumicho,Yotsuya 3-chome,5,31000000,1LDK,40.0,0.78,,1998,RC,House,House,Category II Exclusively Medium-high Residential Zone,60.0,300.0,4th quarter 2019,Not yet,
2147,"Pre-owned Condominiums, etc.",,13104,Shinjuku Ward,Aizumicho,Yotsuya 3-chome,5,39000000,1DK,40.0,0.98,,1998,RC,,House,Category II Exclusively Medium-high Residential Zone,60.0,300.0,4th quarter 2019,Not yet,
2148,Residential Land(Land and Building),Commercial Area,13104,Shinjuku Ward,Aizumicho,Yotsuya 3-chome,2,140000000,,90.0,1.56,Semi-square Shaped,1983,S,House,Shop,Commercial Zone,80.0,700.0,1st quarter 2019,,
2149,Residential Land(Land and Building),Residential Area,13104,Shinjuku Ward,Aizumicho,Yotsuya 3-chome,6,230000000,,145.0,1.59,Semi-square Shaped,1984,RC,Housing Complex,House,Commercial Zone,80.0,600.0,1st quarter 2019,,
2150,Residential Land(Land and Building),Residential Area,13104,Shinjuku Ward,Akagishitamachi,Kagurazaka,3,43000000,,45.0,0.96,Semi-rectangular Shaped,1961,,,House,Category II Residential Zone,60.0,300.0,3rd quarter 2019,,
2151,Residential Land(Land and Building),Residential Area,13104,Shinjuku Ward,Akagishitamachi,Kagurazaka,4,14000000,,35.0,0.4,Rectangular Shaped,1967,W,House,House,Category II Residential Zone,60.0,300.0,2nd quarter 2019,,Dealings including private road
2153,Residential Land(Land and Building),Residential Area,13104,Shinjuku Ward,Akagishitamachi,Kagurazaka,5,170000000,,150.0,1.13,Irregular Shaped,,W,House,House,Quasi-industrial Zone,60.0,300.0,2nd quarter 2019,,Dealings including private road
2155,"Pre-owned Condominiums, etc.",,13104,Shinjuku Ward,Arakicho,Akebonobashi,5,55000000,1LDK,40.0,1.38,,2016,RC,House,House,Commercial Zone,80.0,400.0,4th quarter 2019,Not yet,
2156,"Pre-owned Condominiums, etc.",,13104,Shinjuku Ward,Arakicho,Akebonobashi,2,33000000,2DK,35.0,0.94,,1979,SRC,,House,Neighborhood Commercial Zone,80.0,400.0,4th quarter 2019,Done,
2157,"Pre-owned Condominiums, etc.",,13104,Shinjuku Ward,Arakicho,Akebonobashi,2,30000000,1DK,30.0,1.0,,1979,SRC,,House,Neighborhood Commercial Zone,80.0,400.0,4th quarter 2019,Done,
2158,"Pre-owned Condominiums, etc.",,13104,Shinjuku Ward,Arakicho,Akebonobashi,3,30000000,1LDK,30.0,1.0,,1997,SRC,,House,Neighborhood Commercial Zone,80.0,400.0,2nd quarter 2019,Not yet,
2161,"Pre-owned Condominiums, etc.",,13104,Shinjuku Ward,Arakicho,Yotsuya 3-chome,4,28000000,1K,20.0,1.4,,2006,RC,House,House,Commercial Zone,80.0,400.0,3rd quarter 2019,,
2162,"Pre-owned Condominiums, etc.",,13104,Shinjuku Ward,Arakicho,Yotsuya 3-chome,4,33000000,1K,25.0,1.32,,2012,RC,House,House,Commercial Zone,80.0,400.0,3rd quarter 2019,Not yet,
2163,"Pre-owned Condominiums, etc.",,13104,Shinjuku Ward,Arakicho,Yotsuya 3-chome,4,27000000,1K,20.0,1.35,,2006,RC,House,House,Commercial Zone,80.0,400.0,3rd quarter 2019,Not yet,
2165,"Pre-owned Condominiums, etc.",,13104,Shinjuku Ward,Arakicho,Yotsuya 3-chome,5,190000000,3LDK,100.0,1.9,,2018,RC,House,House,Commercial Zone,80.0,500.0,2nd quarter 2019,Not yet,
2166,"Pre-owned Condominiums, etc.",,13104,Shinjuku Ward,Arakicho,Yotsuya 3-chome,5,90000000,2LDK,55.0,1.64,,2018,RC,House,House,Commercial Zone,80.0,400.0,2nd quarter 2019,Not yet,
2167,"Pre-owned Condominiums, etc.",,13104,Shinjuku Ward,Ichigayakagacho,Ushigomeyanagicho,6,120000000,3LDK,90.0,1.33,,2012,RC,House,House,Category I Exclusively Medium-high Residential Zone,60.0,300.0,3rd quarter 2019,Not yet,
2168,"Pre-owned Condominiums, etc.",,13104,Shinjuku Ward,Ichigayakagacho,Ushigomeyanagicho,3,92000000,3LDK,70.0,1.31,,2014,RC,House,House,Category I Exclusively Medium-high Residential Zone,60.0,300.0,3rd quarter 2019,Not yet,
2169,"Pre-owned Condominiums, etc.",,13104,Shinjuku Ward,Ichigayakagacho,Ushigomeyanagicho,3,65000000,1LDK,55.0,1.18,,2014,RC,,House,Category I Exclusively Medium-high Residential Zone,60.0,300.0,2nd quarter 2019,Done,
2170,"Pre-owned Condominiums, etc.",,13104,Shinjuku Ward,Ichigayakagacho,Ushigomeyanagicho,4,74000000,2LDK,70.0,1.06,,2009,RC,,House,Category I Exclusively Medium-high Residential Zone,60.0,300.0,2nd quarter 2019,Not yet,
2171,"Pre-owned Condominiums, etc.",,13104,Shinjuku Ward,Ichigayakagacho,Ushigomeyanagicho,7,64000000,2LDK,65.0,0.98,,2005,RC,,House,Category I Exclusively Medium-high Residential Zone,60.0,300.0,1st quarter 2019,Done,
2172,"Pre-owned Condominiums, etc.",,13104,Shinjuku Ward,Ichigayakoracho,Ushigomeyanagicho,3,85000000,2LDK,75.0,1.13,,2003,RC,House,House,Commercial Zone,80.0,500.0,4th quarter 2019,Not yet,
2173,"Pre-owned Condominiums, etc.",,13104,Shinjuku Ward,Ichigayakoracho,Ushigomeyanagicho,5,70000000,1LDK,60.0,1.17,,2017,RC,House,House,Category I Residential Zone,60.0,300.0,3rd quarter 2019,Not yet,
2174,Residential Land(Land and Building),Residential Area,13104,Shinjuku Ward,Ichigayakoracho,Ushigomeyanagicho,4,120000000,,80.0,1.5,Semi-trapezoidal Shaped,2020,W,House,House,Category I Residential Zone,60.0,300.0,2nd quarter 2019,,
2175,"Pre-owned Condominiums, etc.",,13104,Shinjuku Ward,Ichigayakoracho,Ushigomeyanagicho,4,140000000,4LDK,180.0,0.78,,1989,,,House,Category I Exclusively Medium-high Residential Zone,60.0,300.0,1st quarter 2019,Done,
2176,"Pre-owned Condominiums, etc.",,13104,Shinjuku Ward,Ichigayasadoharacho,Ichigaya,3,25000000,1K,20.0,1.25,,2003,RC,,House,Neighborhood Commercial Zone,80.0,400.0,1st quarter 2019,Not yet,
2177,"Pre-owned Condominiums, etc.",,13104,Shinjuku Ward,Ichigayasadoharacho,Ichigaya,6,74000000,1LDK,65.0,1.14,,2002,RC,,House,Category I Exclusively Medium-high Residential Zone,60.0,300.0,1st quarter 2019,Not yet,
2178,"Pre-owned Condominiums, etc.",,13104,Shinjuku Ward,Ichigayasadoharacho,Ichigaya,4,190000000,3LDK,145.0,1.31,,1987,RC,,House,Category II Exclusively Medium-high Residential Zone,60.0,300.0,1st quarter 2019,Not yet,
2179,"Pre-owned Condominiums, etc.",,13104,Shinjuku Ward,Ichigayasadoharacho,Ushigomekagurazaka,8,160000000,4LDK,185.0,0.86,,1985,RC,House,House,Category I Exclusively Medium-high Residential Zone,60.0,300.0,4th quarter 2019,Not yet,
2180,"Pre-owned Condominiums, etc.",,13104,Shinjuku Ward,Ichigayasadoharacho,Ushigomekagurazaka,5,120000000,2LDK,85.0,1.41,,1985,RC,,House,Category I Exclusively Medium-high Residential Zone,60.0,300.0,1st quarter 2019,Done,
2182,Residential Land(Land and Building),Residential Area,13104,Shinjuku Ward,Ichigayasanaicho,Ichigaya,4,300000000,,220.0,1.36,Semi-rectangular Shaped,1973,W,House,House,Category I Residential Zone,60.0,300.0,3rd quarter 2019,,
2183,Residential Land(Land and Building),Residential Area,13104,Shinjuku Ward,Ichigayadaimachi,Akebonobashi,5,320000000,,150.0,2.13,Rectangular Shaped,2019,RC,Housing Complex,House,Category I Exclusively Medium-high Residential Zone,60.0,400.0,4th quarter 2019,,
2184,Residential Land(Land and Building),Residential Area,13104,Shinjuku Ward,Ichigayadaimachi,Akebonobashi,5,70000000,,160.0,0.44,Semi-shaped,1987,LS,House,,Category I Exclusively Medium-high Residential Zone,60.0,300.0,4th quarter 2019,,
2185,Residential Land(Land and Building),Residential Area,13104,Shinjuku Ward,Ichigayadaimachi,Akebonobashi,5,110000000,,160.0,0.69,Rectangular Shaped,1987,LS,House,House,Category I Exclusively Medium-high Residential Zone,60.0,300.0,4th quarter 2019,,
2186,"Pre-owned Condominiums, etc.",,13104,Shinjuku Ward,Ichigayadaimachi,Akebonobashi,6,35000000,1K,30.0,1.17,,2008,RC,House,House,Neighborhood Commercial Zone,80.0,400.0,3rd quarter 2019,Not yet,
2187,Residential Land(Land and Building),Residential Area,13104,Shinjuku Ward,Ichigayadaimachi,Akebonobashi,6,93000000,,120.0,0.78,Rectangular Shaped,1990,S,"Housing Complex, Office",House,Category I Residential Zone,60.0,300.0,2nd quarter 2019,,
2188,"Pre-owned Condominiums, etc.",,13104,Shinjuku Ward,Ichigayadaimachi,Akebonobashi,3,21000000,1K,20.0,1.05,,1999,RC,House,House,Category I Exclusively Medium-high Residential Zone,60.0,300.0,2nd quarter 2019,Not yet,
2189,Residential Land(Land and Building),Residential Area,13104,Shinjuku Ward,Ichigayadaimachi,Akebonobashi,4,130000000,,115.0,1.13,Semi-square Shaped,1981,RC,Housing Complex,House,Neighborhood Commercial Zone,80.0,400.0,1st quarter 2019,,
2190,"Pre-owned Condominiums, etc.",,13104,Shinjuku Ward,Ichigayatamachi,Ichigaya,7,52000000,1LDK,40.0,1.3,,2012,RC,House,House,Commercial Zone,80.0,600.0,2nd quarter 2019,Not yet,
2191,"Pre-owned Condominiums, etc.",,13104,Shinjuku Ward,Ichigayatamachi,Ichigaya,2,41000000,1LDK,35.0,1.17,,2005,RC,,House,Neighborhood Commercial Zone,80.0,400.0,1st quarter 2019,Not yet,
2193,"Pre-owned Condominiums, etc.",,13104,Shinjuku Ward,Ichigayanakanocho,Akebonobashi,4,23000000,1K,20.0,1.15,,2006,SRC,House,House,Commercial Zone,80.0,500.0,4th quarter 2019,Not yet,
2194,"Pre-owned Condominiums, etc.",,13104,Shinjuku Ward,Ichigayanakanocho,Akebonobashi,5,45000000,1LDK,40.0,1.12,,2004,RC,House,,Category II Exclusively Medium-high Residential Zone,60.0,300.0,3rd quarter 2019,Not yet,
2195,"Pre-owned Condominiums, etc.",,13104,Shinjuku Ward,Ichigayanakanocho,Akebonobashi,3,97000000,2LDK,85.0,1.14,,2006,RC,House,House,Category II Exclusively Medium-high Residential Zone,60.0,300.0,3rd quarter 2019,Not yet,
2196,"Pre-owned Condominiums, etc.",,13104,Shinjuku Ward,Ichigayanakanocho,Akebonobashi,3,110000000,3LDK,105.0,1.05,,2009,RC,,House,Category II Exclusively Medium-high Residential Zone,60.0,300.0,2nd quarter 2019,Not yet,
2197,"Pre-owned Condominiums, etc.",,13104,Shinjuku Ward,Ichigayanakanocho,Akebonobashi,4,25000000,1K,20.0,1.25,,2006,SRC,,House,Commercial Zone,80.0,500.0,1st quarter 2019,,
2198,"Pre-owned Condominiums, etc.",,13104,Shinjuku Ward,Ichigayanakanocho,Wakamatsukawada,8,27000000,1K,25.0,1.08,,2013,,,House,Category II Exclusively Medium-high Residential Zone,60.0,300.0,1st quarter 2019,Not yet,
2199,"Pre-owned Condominiums, etc.",,13104,Shinjuku Ward,Ichigayahommuracho,Akebonobashi,5,180000000,3LDK,125.0,1.44,,2007,RC,,House,Category II Residential Zone,60.0,400.0,1st quarter 2019,Not yet,
2200,"Pre-owned Condominiums, etc.",,13104,Shinjuku Ward,Ichigayahommuracho,Ichigaya,7,49000000,2DK,45.0,1.09,,2013,RC,House,House,Commercial Zone,80.0,600.0,3rd quarter 2019,Not yet,
2201,"Pre-owned Condominiums, etc.",,13104,Shinjuku Ward,Ichigayahommuracho,Ichigaya,7,32000000,1K,25.0,1.28,,2013,RC,House,House,Commercial Zone,80.0,600.0,1st quarter 2019,Not yet,
2202,"Pre-owned Condominiums, etc.",,13104,Shinjuku Ward,Ichigayahommuracho,Ichigaya,7,25000000,1K,20.0,1.25,,2000,RC,House,House,Commercial Zone,80.0,400.0,1st quarter 2019,Not yet,
2203,"Pre-owned Condominiums, etc.",,13104,Shinjuku Ward,Ichigayahommuracho,Yotsuya,6,77000000,2LDK,65.0,1.18,,2005,SRC,House,House,Commercial Zone,80.0,600.0,1st quarter 2019,Not yet,
2204,"Pre-owned Condominiums, etc.",,13104,Shinjuku Ward,Ichigayahommuracho,Yotsuya,6,50000000,1LDK,45.0,1.11,,2005,SRC,,House,Commercial Zone,80.0,600.0,1st quarter 2019,Not yet,
2205,"Pre-owned Condominiums, etc.",,13104,Shinjuku Ward,Ichigayayakuojimachi,Ushigomeyanagicho,7,34000000,1DK,30.0,1.13,,2004,RC,House,House,Category I Residential Zone,,,4th quarter 2019,Not yet,
2206,"Pre-owned Condominiums, etc.",,13104,Shinjuku Ward,Ichigayayakuojimachi,Ushigomeyanagicho,6,17000000,,20.0,0.85,,1985,SRC,,House,Commercial Zone,80.0,500.0,4th quarter 2019,Done,
2207,"Pre-owned Condominiums, etc.",,13104,Shinjuku Ward,Ichigayayakuojimachi,Ushigomeyanagicho,7,29000000,1LDK,40.0,0.72,,2004,RC,House,House,Category I Residential Zone,60.0,300.0,4th quarter 2019,Not yet,
2208,"Pre-owned Condominiums, etc.",,13104,Shinjuku Ward,Ichigayayakuojimachi,Ushigomeyanagicho,4,22000000,1K,20.0,1.1,,2005,RC,,Other,Commercial Zone,80.0,500.0,3rd quarter 2019,Done,
2209,"Pre-owned Condominiums, etc.",,13104,Shinjuku Ward,Ichigayayakuojimachi,Ushigomeyanagicho,6,77000000,3LDK,75.0,1.03,,2005,RC,House,House,Category I Residential Zone,60.0,300.0,3rd quarter 2019,Not yet,
2210,"Pre-owned Condominiums, etc.",,13104,Shinjuku Ward,Ichigayayakuojimachi,Ushigomeyanagicho,7,39000000,1LDK,40.0,0.98,,2004,,,House,Category I Residential Zone,,,3rd quarter 2019,Done,
2211,"Pre-owned Condominiums, etc.",,13104,Shinjuku Ward,Ichigayayakuojimachi,Ushigomeyanagicho,6,21000000,1K,20.0,1.05,,2001,SRC,,House,Commercial Zone,80.0,500.0,2nd quarter 2019,Not yet,
2212,"Pre-owned Condominiums, etc.",,13104,Shinjuku Ward,Ichigayayakuojimachi,Ushigomeyanagicho,4,25000000,1DK,20.0,1.25,,2005,RC,,House,Commercial Zone,80.0,500.0,2nd quarter 2019,,
2213,"Pre-owned Condominiums, etc.",,13104,Shinjuku Ward,Ichigayayakuojimachi,Ushigomeyanagicho,6,72000000,3LDK,70.0,1.03,,2005,RC,House,House,Category I Residential Zone,60.0,300.0,2nd quarter 2019,Done,
