No,Type,Region,"City,Town,Ward,Village code","City,Town,Ward,Village",Area,Nearest station_Name,Nearest station_Distance(minute),Transaction-price(total),Layout,Area(m^2),Transaction-price(Unit price m^2),Land shape,Year of construction,Building structure,Use,Purpose of Use,City Planning,Maximus Building Coverage Ratio(%),Maximus Floor-area Ratio(%),Transaction period,Renovation,Transactional factors
1,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iidabashi,Iidabashi,3,24000000,1LDK,35.0,0.69,,1985,SRC,House,House,Commercial Zone,80.0,700.0,4th quarter 2018,Not yet,
2,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iidabashi,Iidabashi,4,13000000,1K,20.0,0.65,,1982,SRC,,House,Commercial Zone,80.0,700.0,3rd quarter 2018,Not yet,
3,Residential Land(Land and Building),Commercial Area,13101,Chiyoda Ward,Iidabashi,Iidabashi,3,250000000,,80.0,3.12,Semi-trapezoidal Shaped,1986,RC,"House, Office, Shop",Office,Commercial Zone,80.0,500.0,2nd quarter 2018,,
4,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iidabashi,Iidabashi,3,22000000,1K,30.0,0.73,,1985,SRC,,House,Commercial Zone,80.0,700.0,2nd quarter 2018,Not yet,
5,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iidabashi,Iidabashi,1,69000000,2LDK,70.0,0.99,,1984,SRC,,House,Commercial Zone,80.0,600.0,2nd quarter 2018,Not yet,
6,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iidabashi,Iidabashi,3,21000000,1K,25.0,0.84,,1985,SRC,House,Office,Commercial Zone,80.0,700.0,2nd quarter 2018,Not yet,
7,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iidabashi,Iidabashi,4,81000000,3LDK,70.0,1.16,,2007,RC,House,Other,Commercial Zone,80.0,500.0,2nd quarter 2018,Not yet,
8,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iidabashi,Iidabashi,4,45000000,1LDK,45.0,1.0,,1982,SRC,House,House,Commercial Zone,80.0,700.0,1st quarter 2018,Done,
9,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iidabashi,Kudanshita,4,31000000,1K,20.0,1.55,,2004,SRC,House,House,Commercial Zone,80.0,700.0,4th quarter 2018,Done,
10,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iidabashi,Kudanshita,4,62000000,1LDK,55.0,1.13,,2003,RC,House,House,Commercial Zone,80.0,500.0,4th quarter 2018,Not yet,
11,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iidabashi,Kudanshita,4,26000000,1K,20.0,1.3,,2004,SRC,House,House,Commercial Zone,80.0,700.0,3rd quarter 2018,,
12,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iidabashi,Kudanshita,3,19000000,1K,20.0,0.95,,1997,SRC,,Other,Commercial Zone,80.0,500.0,3rd quarter 2018,Done,
13,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iidabashi,Kudanshita,3,19000000,1K,20.0,0.95,,1997,SRC,,House,Commercial Zone,80.0,500.0,1st quarter 2018,,
14,Residential Land(Land and Building),Commercial Area,13101,Chiyoda Ward,Ichibancho,Hanzomon,4,1600000000,,640.0,2.5,Trapezoidal Shaped,1985,RC,"Office, Parking Lot",Shop,Category II Residential Zone,60.0,400.0,4th quarter 2018,,
15,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Ichibancho,Hanzomon,1,52000000,2DK,65.0,0.8,,1970,SRC,,House,Category II Residential Zone,60.0,400.0,4th quarter 2018,Done,
16,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Ichibancho,Hanzomon,0,30000000,1LDK,40.0,0.75,,1976,SRC,,,Commercial Zone,80.0,600.0,4th quarter 2018,Not yet,
