No,Type,Region,"City,Town,Ward,Village code","City,Town,Ward,Village",Area,Nearest station_Name,Nearest station_Distance(minute),Transaction-price(total),Layout,Area(m^2),Transaction-price(Unit price m^2),Land shape,Year of construction,Building structure,Use,Purpose of Use,City Planning,Maximus Building Coverage Ratio(%),Maximus Floor-area Ratio(%),Transaction period,Renovation,Transactional factors
17,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Ichibancho,Hanzomon,2,180000000,2LDK,95.0,1.89,,2001,SRC,,House,Category II Residential Zone,80.0,500.0,4th quarter 2018,Done,
18,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Ichibancho,Hanzomon,3,33000000,1K,40.0,0.82,,1972,SRC,,House,Category I Residential Zone,60.0,400.0,4th quarter 2018,Done,
19,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Ichibancho,Hanzomon,1,83000000,3LDK,100.0,0.83,,1970,SRC,,House,Category II Residential Zone,60.0,400.0,4th quarter 2018,Not yet,
20,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Ichibancho,Hanzomon,2,53000000,1LDK,50.0,1.06,,1977,RC,House,House,Category II Residential Zone,80.0,500.0,3rd quarter 2018,Done,
21,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Ichibancho,Hanzomon,0,16000000,1K,20.0,0.8,,1976,SRC,House,,Commercial Zone,80.0,600.0,3rd quarter 2018,Not yet,
22,Residential Land(Land and Building),Commercial Area,13101,Chiyoda Ward,Ichibancho,Hanzomon,3,630000000,,125.0,5.04,Semi-rectangular Shaped,1987,RC,"Housing Complex, Office, Shop",Office,Commercial Zone,80.0,500.0,2nd quarter 2018,,
23,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Ichibancho,Hanzomon,2,140000000,2LDK,85.0,1.65,,2009,RC,House,House,Commercial Zone,80.0,500.0,2nd quarter 2018,,
24,Residential Land(Land and Building),Commercial Area,13101,Chiyoda Ward,Ichibancho,Hanzomon,2,4000000000,,770.0,5.19,Semi-rectangular Shaped,1976,SRC,,House,Commercial Zone,80.0,600.0,1st quarter 2018,,
25,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Ichibancho,Hanzomon,3,29000000,1K,40.0,0.72,,1972,SRC,House,House,Category I Residential Zone,60.0,400.0,1st quarter 2018,Not yet,
26,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Ichibancho,Hanzomon,3,150000000,2DK,95.0,1.58,,2001,SRC,House,,Category II Residential Zone,80.0,500.0,1st quarter 2018,Not yet,
27,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Ichibancho,Hanzomon,2,39000000,2DK,50.0,0.78,,1977,RC,House,Other,Category II Residential Zone,80.0,500.0,1st quarter 2018,Not yet,
28,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iwamotocho,Iwamotocho,2,28000000,1K,20.0,1.4,,2006,SRC,,House,Commercial Zone,80.0,700.0,4th quarter 2018,Not yet,
29,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iwamotocho,Iwamotocho,4,50000000,1LDK,45.0,1.11,,2014,RC,House,House,Commercial Zone,80.0,600.0,4th quarter 2018,,
30,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iwamotocho,Iwamotocho,4,21000000,1K,20.0,1.05,,2004,SRC,House,House,Commercial Zone,80.0,800.0,4th quarter 2018,Not yet,
31,Residential Land(Land and Building),Commercial Area,13101,Chiyoda Ward,Iwamotocho,Iwamotocho,3,68000000,,35.0,1.94,Rectangular Shaped,1970,RC,Office,Shop,Commercial Zone,80.0,700.0,3rd quarter 2018,,Dealings of adjacent land
32,Residential Land(Land and Building),Commercial Area,13101,Chiyoda Ward,Iwamotocho,Iwamotocho,2,1200000000,,200.0,6.0,Semi-rectangular Shaped,1985,SRC,"Office, Shop",Office,Commercial Zone,80.0,600.0,3rd quarter 2018,,
33,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iwamotocho,Iwamotocho,4,29000000,1DK,30.0,0.97,,2005,RC,House,House,Commercial Zone,80.0,600.0,3rd quarter 2018,Not yet,
34,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iwamotocho,Iwamotocho,4,39000000,,40.0,0.98,,2005,RC,,House,Commercial Zone,80.0,600.0,3rd quarter 2018,,
35,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iwamotocho,Iwamotocho,2,49000000,2LDK,45.0,1.09,,2013,RC,,House,Commercial Zone,80.0,500.0,3rd quarter 2018,Not yet,
36,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iwamotocho,Iwamotocho,4,25000000,1K,25.0,1.0,,2000,SRC,House,House,Commercial Zone,80.0,600.0,3rd quarter 2018,,
37,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iwamotocho,Iwamotocho,4,27000000,1K,25.0,1.08,,2000,SRC,House,Other,Commercial Zone,80.0,600.0,3rd quarter 2018,Not yet,
38,Residential Land(Land and Building),Commercial Area,13101,Chiyoda Ward,Iwamotocho,Iwamotocho,4,93000000,,65.0,1.43,Semi-trapezoidal Shaped,1961,W,"Warehouse, Shop",Other,Commercial Zone,80.0,600.0,2nd quarter 2018,,Dealings of adjacent land
39,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iwamotocho,Iwamotocho,2,26000000,1K,20.0,1.3,,2006,SRC,House,House,Commercial Zone,80.0,600.0,2nd quarter 2018,,
40,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iwamotocho,Iwamotocho,2,29000000,,20.0,1.45,,2006,SRC,House,,Commercial Zone,80.0,700.0,2nd quarter 2018,,
41,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iwamotocho,Iwamotocho,1,24000000,1K,20.0,1.2,,2004,SRC,,House,Commercial Zone,80.0,700.0,2nd quarter 2018,Not yet,
42,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iwamotocho,Iwamotocho,4,25000000,1K,20.0,1.25,,2007,RC,,House,Commercial Zone,80.0,700.0,2nd quarter 2018,Not yet,
43,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iwamotocho,Iwamotocho,1,28000000,1K,20.0,1.4,,2004,SRC,,House,Commercial Zone,80.0,700.0,2nd quarter 2018,Done,
44,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iwamotocho,Iwamotocho,1,24000000,1K,20.0,1.2,,2004,SRC,,House,Commercial Zone,80.0,700.0,2nd quarter 2018,Not yet,
45,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iwamotocho,Iwamotocho,2,28000000,1K,20.0,1.4,,2006,SRC,,House,Commercial Zone,80.0,700.0,2nd quarter 2018,Not yet,
46,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iwamotocho,Iwamotocho,2,30000000,1K,25.0,1.2,,2006,SRC,,House,Commercial Zone,80.0,600.0,2nd quarter 2018,Not yet,
47,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iwamotocho,Iwamotocho,3,23000000,1K,30.0,0.77,,2006,RC,House,House,Commercial Zone,80.0,500.0,1st quarter 2018,Not yet,
48,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iwamotocho,Iwamotocho,2,19000000,1K,20.0,0.95,,2004,SRC,House,,Commercial Zone,80.0,700.0,1st quarter 2018,,
49,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iwamotocho,Iwamotocho,1,23000000,1K,20.0,1.15,,2004,SRC,House,,Commercial Zone,80.0,700.0,1st quarter 2018,Not yet,
50,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iwamotocho,Iwamotocho,2,25000000,1K,20.0,1.25,,2006,SRC,House,House,Commercial Zone,80.0,700.0,1st quarter 2018,Not yet,
51,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iwamotocho,Iwamotocho,3,22000000,1K,20.0,1.1,,2003,SRC,,House,Commercial Zone,80.0,800.0,1st quarter 2018,Not yet,
52,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iwamotocho,Kodenmacho,4,32000000,1K,30.0,1.07,,2009,RC,House,House,Commercial Zone,80.0,600.0,3rd quarter 2018,Not yet,
53,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iwamotocho,Kodenmacho,4,30000000,1K,25.0,1.2,,2009,RC,,House,Commercial Zone,80.0,600.0,3rd quarter 2018,Not yet,
54,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iwamotocho,Kodenmacho,3,28000000,1K,25.0,1.12,,2002,SRC,,Other,Commercial Zone,80.0,600.0,3rd quarter 2018,Not yet,
55,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iwamotocho,Kodenmacho,4,32000000,1K,25.0,1.28,,2009,RC,,House,Commercial Zone,80.0,600.0,3rd quarter 2018,,
56,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iwamotocho,Kodenmacho,3,22000000,1K,20.0,1.1,,2002,SRC,,House,Commercial Zone,80.0,600.0,2nd quarter 2018,Not yet,
57,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iwamotocho,Kodenmacho,3,39000000,1LDK,30.0,1.3,,2013,RC,House,House,Commercial Zone,80.0,600.0,2nd quarter 2018,,
58,Residential Land(Land and Building),Commercial Area,13101,Chiyoda Ward,Iwamotocho,Kodenmacho,6,370000000,,160.0,2.31,Semi-rectangular Shaped,1969,RC,"Housing Complex, Office, Shop",Other,Commercial Zone,80.0,800.0,1st quarter 2018,,
59,Residential Land(Land and Building),Commercial Area,13101,Chiyoda Ward,Iwamotocho,Kodenmacho,3,480000000,,125.0,3.84,Semi-rectangular Shaped,1984,RC,Other,Shop,Commercial Zone,80.0,600.0,1st quarter 2018,,
60,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iwamotocho,Kodenmacho,4,37000000,1LDK,40.0,0.92,,2006,RC,,House,Commercial Zone,80.0,600.0,1st quarter 2018,Not yet,
61,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iwamotocho,Kodenmacho,3,25000000,1K,20.0,1.25,,2002,SRC,House,House,Commercial Zone,80.0,600.0,1st quarter 2018,Not yet,
62,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iwamotocho,Kodenmacho,3,17000000,1K,25.0,0.68,,2002,SRC,,House,Commercial Zone,80.0,600.0,1st quarter 2018,Not yet,
63,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iwamotocho,Shinnihonbashi,4,24000000,1K,20.0,1.2,,2003,RC,House,House,Commercial Zone,80.0,800.0,1st quarter 2018,Not yet,
64,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iwamotocho,Shinnihonbashi,4,23000000,1K,20.0,1.15,,2003,RC,,House,Commercial Zone,80.0,800.0,1st quarter 2018,,
65,Residential Land(Land and Building),Commercial Area,13101,Chiyoda Ward,Iwamotocho,Bakurocho,4,410000000,,125.0,3.28,Semi-rectangular Shaped,1991,SRC,"House, Office",Office,Commercial Zone,80.0,600.0,4th quarter 2018,,
66,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iwamotocho,Bakurocho,4,22000000,1K,20.0,1.1,,2005,RC,House,House,Commercial Zone,80.0,600.0,3rd quarter 2018,,
67,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iwamotocho,Bakurocho,4,22000000,1K,20.0,1.1,,2005,RC,House,,Commercial Zone,80.0,600.0,3rd quarter 2018,Not yet,
68,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iwamotocho,Bakurocho,3,5000000,1R,15.0,0.33,,1981,RC,Office,Office,Commercial Zone,80.0,600.0,2nd quarter 2018,Not yet,
69,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Iwamotocho,Bakurocho,4,22000000,1K,20.0,1.1,,2005,RC,House,House,Commercial Zone,80.0,600.0,1st quarter 2018,Not yet,
70,Residential Land(Land and Building),Commercial Area,13101,Chiyoda Ward,Uchikanda,Otemachi (Tokyo),4,370000000,,150.0,2.47,Rectangular Shaped,,,,House,Commercial Zone,80.0,600.0,3rd quarter 2018,,
71,Residential Land(Land and Building),Commercial Area,13101,Chiyoda Ward,Uchikanda,Otemachi (Tokyo),4,230000000,,90.0,2.56,Rectangular Shaped,1977,RC,"House, Factory, Office, Shop",House,Commercial Zone,80.0,600.0,3rd quarter 2018,,
72,Residential Land(Land and Building),Commercial Area,13101,Chiyoda Ward,Uchikanda,Otemachi (Tokyo),4,1000000000,,220.0,4.55,Semi-rectangular Shaped,1993,RC,Office,Office,Commercial Zone,80.0,600.0,3rd quarter 2018,,
73,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Uchikanda,Ogawamachi (Tokyo),4,35000000,1K,25.0,1.4,,2015,RC,House,Other,Commercial Zone,80.0,800.0,4th quarter 2018,Not yet,
74,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Uchikanda,Ogawamachi (Tokyo),4,60000000,2LDK,50.0,1.2,,2014,RC,House,House,Commercial Zone,80.0,600.0,3rd quarter 2018,Not yet,
75,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Uchikanda,Kanda (Tokyo),3,26000000,1K,20.0,1.3,,2005,RC,,House,Commercial Zone,80.0,800.0,4th quarter 2018,Not yet,
76,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Uchikanda,Kanda (Tokyo),2,25000000,1K,20.0,1.25,,2005,RC,,,Commercial Zone,80.0,600.0,4th quarter 2018,,
77,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Uchikanda,Kanda (Tokyo),2,24000000,1K,20.0,1.2,,2005,RC,House,House,Commercial Zone,80.0,600.0,4th quarter 2018,Not yet,
78,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Uchikanda,Kanda (Tokyo),2,27000000,1K,20.0,1.35,,2005,RC,House,House,Commercial Zone,80.0,600.0,4th quarter 2018,Not yet,
79,Residential Land(Land and Building),Commercial Area,13101,Chiyoda Ward,Uchikanda,Kanda (Tokyo),1,990000000,,145.0,6.83,Rectangular Shaped,1981,SRC,"Office, Shop",Shop,Commercial Zone,80.0,700.0,3rd quarter 2018,,
80,Residential Land(Land and Building),Commercial Area,13101,Chiyoda Ward,Uchikanda,Kanda (Tokyo),3,110000000,,45.0,2.44,Semi-shaped,1968,S,"House, Office",Shop,Commercial Zone,80.0,600.0,3rd quarter 2018,,
82,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Uchikanda,Kanda (Tokyo),6,15000000,1K,20.0,0.75,,1979,SRC,House,Office,Commercial Zone,80.0,700.0,2nd quarter 2018,Done,
83,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Uchikanda,Kanda (Tokyo),6,14000000,1K,15.0,0.93,,1979,SRC,,Office,Commercial Zone,80.0,700.0,2nd quarter 2018,Done,
84,Residential Land(Land and Building),Commercial Area,13101,Chiyoda Ward,Uchikanda,Kanda (Tokyo),3,330000000,,195.0,1.69,Rectangular Shaped,1970,RC,Office,House,Commercial Zone,80.0,600.0,1st quarter 2018,,Dealings including private road
85,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Uchikanda,Kanda (Tokyo),2,24000000,1K,20.0,1.2,,2005,RC,House,House,Commercial Zone,80.0,600.0,1st quarter 2018,Not yet,
86,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Uchikanda,Kanda (Tokyo),2,24000000,1K,20.0,1.2,,2005,RC,House,House,Commercial Zone,80.0,600.0,1st quarter 2018,Not yet,
87,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Uchikanda,Kanda (Tokyo),2,25000000,1K,20.0,1.25,,2005,RC,House,House,Commercial Zone,80.0,600.0,1st quarter 2018,Not yet,
88,Residential Land(Land and Building),Commercial Area,13101,Chiyoda Ward,Kajicho,Kanda (Tokyo),1,220000000,,45.0,4.89,Irregular Shaped,1986,RC,"House, Office, Shop",Office,Commercial Zone,80.0,600.0,4th quarter 2018,,
89,Residential Land(Land and Building),Commercial Area,13101,Chiyoda Ward,Kajicho,Kanda (Tokyo),,350000000,,60.0,5.83,Rectangular Shaped,1983,S,"House, Office, Warehouse, Shop",Other,Commercial Zone,80.0,600.0,3rd quarter 2018,,Dealings including private road
90,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Kandaawajicho,Awajicho,3,85000000,1LDK,50.0,1.7,,2013,SRC,House,House,Commercial Zone,80.0,600.0,4th quarter 2018,Not yet,
91,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Kandaawajicho,Awajicho,3,120000000,2DK,60.0,2.0,,2013,SRC,,House,Commercial Zone,80.0,600.0,3rd quarter 2018,Done,
92,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Kandaawajicho,Awajicho,3,76000000,,45.0,1.69,,2013,SRC,,,Commercial Zone,80.0,600.0,3rd quarter 2018,,
93,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Kandaawajicho,Awajicho,3,150000000,2LDK,65.0,2.31,,2013,SRC,,House,Commercial Zone,80.0,600.0,2nd quarter 2018,Not yet,
94,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Kandaawajicho,Awajicho,1,25000000,1K,25.0,1.0,,2003,RC,House,House,Commercial Zone,80.0,600.0,1st quarter 2018,Not yet,
95,Residential Land(Land and Building),Commercial Area,13101,Chiyoda Ward,Kandaawajicho,Ogawamachi (Tokyo),2,230000000,,90.0,2.56,Rectangular Shaped,1986,SRC,"House, Office, Shop",,Commercial Zone,80.0,500.0,4th quarter 2018,,
96,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Kandaawajicho,Ogawamachi (Tokyo),1,41000000,1LDK,45.0,0.91,,2003,RC,,House,Commercial Zone,80.0,500.0,3rd quarter 2018,Not yet,
97,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Kandaawajicho,Ogawamachi (Tokyo),1,30000000,1DK,25.0,1.2,,2003,RC,,House,Commercial Zone,80.0,500.0,2nd quarter 2018,Not yet,
98,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Kandaawajicho,Shin-ochanomizu,3,95000000,1LDK+S,60.0,1.58,,2013,SRC,House,House,Commercial Zone,80.0,500.0,1st quarter 2018,Not yet,
99,Residential Land(Land and Building),Commercial Area,13101,Chiyoda Ward,Kandaizumicho,Akihabara,3,610000000,,290.0,2.1,Semi-rectangular Shaped,1991,RC,"Housing Complex, Office, Shop",,Commercial Zone,80.0,500.0,3rd quarter 2018,,Dealings including private road
100,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Kandaizumicho,Akihabara,4,25000000,1DK,30.0,0.83,,2004,RC,,House,Commercial Zone,80.0,500.0,2nd quarter 2018,,
101,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Kandaizumicho,Akihabara,5,21000000,1K,20.0,1.05,,2000,RC,House,House,Commercial Zone,80.0,500.0,1st quarter 2018,,
102,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Kandaizumicho,Akihabara,5,12000000,1K,20.0,0.6,,2000,RC,,House,Commercial Zone,80.0,500.0,1st quarter 2018,,
103,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Kandaogawamachi,Ogawamachi (Tokyo),4,11000000,1K,15.0,0.73,,1980,SRC,House,House,Commercial Zone,80.0,600.0,4th quarter 2018,,
104,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Kandaogawamachi,Ogawamachi (Tokyo),5,14000000,1K,20.0,0.7,,,,,House,,,,2nd quarter 2018,Done,
105,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Kandaogawamachi,Jinbocho,4,40000000,1R,40.0,1.0,,2004,SRC,,House,Commercial Zone,80.0,600.0,4th quarter 2018,Not yet,
106,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Kandaogawamachi,Jinbocho,4,23000000,1DK,35.0,0.66,,2004,SRC,House,Office,Commercial Zone,80.0,600.0,3rd quarter 2018,Not yet,
107,Residential Land(Land and Building),Commercial Area,13101,Chiyoda Ward,Kandasakumagashi,Akihabara,7,320000000,,210.0,1.52,Rectangular Shaped,1983,RC,"Housing Complex, Office",Office,Commercial Zone,80.0,600.0,3rd quarter 2018,,
108,Residential Land(Land and Building),Commercial Area,13101,Chiyoda Ward,Kandasakumacho,Akihabara,5,680000000,,190.0,3.58,Rectangular Shaped,1972,RC,"House, Office, Parking Lot",House,Commercial Zone,80.0,600.0,4th quarter 2018,,
109,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Kandasakumacho,Akihabara,2,37000000,,30.0,1.23,,2012,RC,House,House,Commercial Zone,80.0,500.0,4th quarter 2018,,
110,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Kandasakumacho,Akihabara,6,33000000,1DK,30.0,1.1,,2008,RC,,Other,Commercial Zone,80.0,600.0,3rd quarter 2018,Not yet,
111,Residential Land(Land and Building),Commercial Area,13101,Chiyoda Ward,Kandasakumacho,Akihabara,3,150000000,,55.0,2.73,Rectangular Shaped,1989,S,Office,Office,Commercial Zone,80.0,500.0,2nd quarter 2018,,
112,Residential Land(Land and Building),Commercial Area,13101,Chiyoda Ward,Kandasakumacho,Akihabara,3,130000000,,70.0,1.86,Semi-rectangular Shaped,1963,,Office,Other,Commercial Zone,80.0,600.0,2nd quarter 2018,,
113,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Kandasakumacho,Akihabara,3,43000000,1LDK,40.0,1.08,,2012,RC,,House,Commercial Zone,80.0,500.0,2nd quarter 2018,Not yet,
114,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Kandasakumacho,Akihabara,3,36000000,1DK,30.0,1.2,,2012,RC,,House,Commercial Zone,80.0,500.0,2nd quarter 2018,Not yet,
115,Residential Land(Land and Building),Commercial Area,13101,Chiyoda Ward,Kandasakumacho,Akihabara,4,480000000,,250.0,1.92,Semi-rectangular Shaped,1973,RC,"Office, Warehouse",,Commercial Zone,80.0,500.0,1st quarter 2018,,
116,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Kandasakumacho,Akihabara,4,37000000,1LDK,45.0,0.82,,2003,SRC,House,House,Commercial Zone,80.0,500.0,1st quarter 2018,Not yet,
117,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Kandasarugakucho,Jinbocho,5,50000000,1LDK,40.0,1.25,,2009,RC,,House,Commercial Zone,80.0,600.0,4th quarter 2018,Not yet,
118,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Kandasarugakucho,Jinbocho,3,55000000,1LDK,40.0,1.38,,,,House,House,,,,4th quarter 2018,Not yet,
119,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Kandasarugakucho,Jinbocho,6,48000000,1LDK,35.0,1.37,,2009,RC,,House,Commercial Zone,80.0,600.0,2nd quarter 2018,,
120,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Kandasarugakucho,Jinbocho,6,28000000,1K,20.0,1.4,,2009,RC,House,House,Commercial Zone,80.0,600.0,2nd quarter 2018,Not yet,
121,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Kandasarugakucho,Jinbocho,5,84000000,2LDK,55.0,1.53,,2016,RC,,House,Commercial Zone,80.0,600.0,1st quarter 2018,Not yet,
122,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Kandasarugakucho,Jinbocho,5,43000000,1LDK,35.0,1.23,,2009,RC,House,House,Commercial Zone,80.0,600.0,1st quarter 2018,Not yet,
123,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Kandasarugakucho,Jinbocho,5,24000000,1K,20.0,1.2,,2009,RC,House,House,Commercial Zone,80.0,700.0,1st quarter 2018,Not yet,
